Time (ms),A0
353542,528
353592,545
353642,524
353692,565
353742,547
353792,531
353842,552
353892,562
353942,523
353992,558
354042,532
354092,576
354142,534
354192,549
354242,512
354292,551
354342,539
354392,523
354442,682
354492,477
354542,487
354592,527
354642,550
354692,525
354742,572
354792,547
354842,533
354892,549
354942,543
354992,505
355042,636
355092,619
355142,637
355192,609
355242,555
355292,626
355342,628
355392,639
355442,645
355492,627
355542,629
355592,631
355642,637
355692,631
355742,631
355792,626
355842,632
355892,629
355942,651
355992,656
356042,645
356092,637
356142,612
356192,606
356242,616
356292,612
356342,640
356392,661
356442,657
356492,638
356542,643
356592,610
356642,582
356692,608
356742,607
356793,601
356843,598
356893,626
356943,617
356993,638
357043,641
357093,644
357143,645
357193,631
357243,633
357293,634
357343,632
357393,620
357443,620
357493,629
357543,629
357593,629
357643,627
357693,629
357743,629
357793,629
357843,629
357893,625
357943,623
357993,626
358043,623
358093,616
358143,638
358193,633
358243,617
358293,629
358343,618
358393,624
358443,626
358493,629
358543,625
358593,625
358643,617
358693,625
358743,619
358793,628
358843,623
358893,654
358943,653
358993,646
359043,657
359093,657
359143,625
359193,627
359243,626
359293,630
359343,622
359393,628
359443,621
359493,626
359543,623
359593,618
359643,624
359693,626
359743,630
359793,646
359843,616
359893,631
359943,614
359993,624
360043,629
360093,625
360144,638
360194,625
360244,625
360294,621
360344,625
360394,625
360444,637
360494,629
360544,610
360594,603
360644,680
360694,784
360744,552
360794,300
360844,717
360894,915
360944,684
360994,227
361044,568
361094,1009
361144,761
361194,217
361244,497
361294,1005
361344,808
361394,283
361444,381
361494,919
361544,913
361594,411
361644,283
361694,798
361744,945
361794,588
361844,160
361894,619
361944,854
361994,779
362044,308
362094,399
362144,747
362194,742
362244,477
362294,263
362344,758
362394,785
362444,480
362494,246
362544,615
362594,769
362644,717
362694,277
362744,428
362794,765
362844,812
362894,439
362944,267
362994,703
363044,655
363094,523
363144,230
363194,681
363244,692
363294,685
363344,221
363394,496
363445,828
363495,788
363545,378
363595,292
363645,725
363695,674
363745,577
363795,174
363845,559
363895,753
363945,797
363995,318
364045,327
364095,705
364145,700
364195,577
364245,149
364295,544
364345,765
364395,747
364445,528
364495,539
364545,652
364595,657
364645,685
364695,664
364745,637
364795,647
364845,606
364895,634
364945,602
364995,573
365045,574
365095,542
365145,535
365195,510
365245,516
365295,492
365345,538
365395,497
365445,524
365495,545
365545,528
365595,534
365645,519
365695,530
365745,566
365795,531
365845,570
365895,552
365945,578
365995,538
366045,535
366095,500
366145,548
366195,507
366245,533
366295,538
366345,536
366395,495
366445,532
366495,532
366545,558
366595,516
366645,546
366695,490
366745,545
366796,498
366846,542
366896,488
366946,537
366996,500
367046,542
367096,501
367146,540
367196,522
367246,587
367296,585
367346,633
367396,529
367446,581
367496,553
367546,590
367596,567
367646,595
367696,569
367746,584
367796,544
367846,557
367896,519
367946,577
367996,524
368046,586
368096,555
368146,593
368196,562
368246,578
368296,528
368346,586
368396,570
368446,578
368496,531
368546,558
368596,535
368646,521
368696,536
368746,534
368796,498
368846,532
368896,545
368946,532
368996,535
369046,519
369096,524
369146,574
369196,606
369246,544
369296,478
369346,497
369396,491
369446,540
369496,512
369546,589
369596,553
369646,573
369696,524
369746,579
369796,550
369846,581
369896,556
369946,576
369996,529
370046,559
370097,530
370147,577
370197,543
370247,535
370297,496
370347,532
370397,528
370447,567
370497,542
370547,527
370597,537
370647,535
370697,503
370747,516
370797,506
370847,519
370897,548
370947,533
370997,566
371047,549
371097,539
371147,516
371197,526
371247,555
371297,556
371347,540
371397,538
371447,511
371497,514
371547,508
371597,524
371647,551
371697,557
371747,538
371797,541
371847,511
371897,529
371947,537
371997,533
372047,529
372097,565
372147,529
372197,560
372247,535
372297,545
372347,501
372397,556
372447,521
372497,586
372547,578
372597,589
372647,558
372697,584
372747,559
372797,577
372847,524
372897,584
372947,541
372997,551
373047,507
373097,556
373147,510
373197,556
373247,532
373297,601
373347,526
373397,589
373448,545
373498,560
373548,512
373598,543
373648,459
373698,563
